feature1,feature2,target
-10.5024,-1.6261,0.0000
-8.7301,-9.0023,0.0000
-5.5082,-7.3115,0.0000
-10.7657,-4.0416,0.0000
-6.6061,-6.9726,0.0000
-4.8526,-5.7113,0.0000
-4.3844,-4.8758,0.0000
-4.5144,-5.7554,0.0000
-10.7274,-0.5230,0.0000
-9.2204,-6.4446,0.0000
-9.5661,-6.4548,0.0000
-7.4574,-5.5487,0.0000
-6.5219,-1.9926,0.0000
-8.2694,-8.7573,0.0000
-10.6437,-7.4887,0.0000
-11.7436,-4.1552,0.0000
-9.1140,-6.6954,0.0000
-8.0042,-9.1229,0.0000
-9.9260,-4.4913,0.0000
-6.6169,-6.9910,0.0000
-3.9515,-8.9197,0.0000
-8.7714,-6.5162,0.0000
-14.2455,-1.6676,0.0000
-7.1809,-8.3358,0.0000
-3.4134,-4.6904,0.0000
-7.0396,-7.3573,0.0000
-7.7625,-9.4115,0.0000
-6.2223,-6.8373,0.0000
-7.7003,-3.3121,0.0000
-7.3633,-5.4131,0.0000
-7.3817,-7.6396,0.0000
-6.1306,-2.5489,0.0000
-6.3033,-4.0213,0.0000
-9.9617,-7.9404,0.0000
-11.2219,-3.2446,0.0000
-8.5684,-2.8699,0.0000
-9.7484,-6.9783,0.0000
-7.7866,-3.9396,0.0000
-7.8642,-5.5279,0.0000
-7.9630,-5.6038,0.0000
-10.4965,-5.8190,0.0000
-8.4172,-6.1271,0.0000
-6.8991,-7.5220,0.0000
-8.1890,-6.6649,0.0000
-7.0669,-4.2452,0.0000
-10.1364,-4.6899,0.0000
-3.3808,-9.2896,0.0000
-9.8563,-7.9690,0.0000
-8.6241,-2.3712,0.0000
-7.9701,-7.5534,0.0000
-6.6096,-7.3412,0.0000
-5.4880,-5.3174,0.0000
-4.8946,-7.4788,0.0000
-1.2228,-4.1562,0.0000
-6.5363,-6.1145,0.0000
-9.6225,-7.9404,0.0000
-8.3041,-7.7827,0.0000
-7.3679,-7.8472,0.0000
-6.6112,-3.8620,0.0000
-9.5783,-3.3331,0.0000
-8.5321,-3.4167,0.0000
-7.0202,-3.4904,0.0000
-10.2294,-6.2388,0.0000
-4.7545,-7.3820,0.0000
-12.5553,-10.3438,0.0000
-13.6046,-10.7274,0.0000
2.7958,-13.9920,0.0000
-0.3917,-6.9880,0.0000
5.8396,-14.7834,0.0000
2.9004,-10.7451,0.0000
3.5027,-11.7192,0.0000
0.1463,-12.3648,0.0000
1.0177,-11.7313,0.0000
1.4633,-12.2634,0.0000
4.0371,-9.5389,0.0000
-0.3622,-12.9199,0.0000
0.4184,-9.5526,0.0000
1.8813,-9.1020,0.0000
1.0448,-11.9480,0.0000
-0.6974,-9.3949,0.0000
1.2748,-14.9703,0.0000
0.8151,-16.6098,0.0000
1.9364,-11.7750,0.0000
2.5762,-9.0038,0.0000
1.3980,-10.3851,0.0000
2.6245,-12.3866,0.0000
-2.1536,-10.1050,0.0000
0.9921,-11.9641,0.0000
-0.5409,-11.4340,0.0000
2.2161,-11.9412,0.0000
1.7304,-9.9016,0.0000
3.9324,-10.5482,0.0000
8.6422,-13.2005,0.0000
1.2410,-14.0296,0.0000
2.8720,-13.3750,0.0000
-3.3967,-14.4267,0.0000
9.0795,7.8589,1.0000
9.0111,5.7234,1.0000
9.7541,5.0191,1.0000
9.6239,4.6105,1.0000
11.0312,2.3704,1.0000
12.2587,7.0572,1.0000
9.5638,6.8009,1.0000
8.4317,3.7987,1.0000
10.3494,4.5747,1.0000
8.9966,3.4964,1.0000
8.7534,7.1000,1.0000
5.6546,5.7882,1.0000
9.4713,6.6274,1.0000
11.1517,-1.2219,1.0000
11.3073,5.7251,1.0000
10.0489,3.9520,1.0000
11.9080,4.0764,1.0000
14.1026,6.2620,1.0000
14.7803,3.2435,1.0000
6.0736,6.5983,1.0000
11.9067,5.0791,1.0000
6.5592,3.9985,1.0000
11.3819,4.5882,1.0000
9.7406,4.6077,1.0000
7.9117,3.8081,1.0000
6.8101,8.9533,1.0000
8.9370,6.0680,1.0000
7.7150,6.7766,1.0000
5.8115,7.0586,1.0000
9.9209,9.7195,1.0000
7.0785,5.1708,1.0000
10.8212,7.7568,1.0000
9.0545,5.1933,1.0000
5.2093,3.1437,1.0000
11.0098,7.4690,1.0000
9.3700,9.5982,1.0000
13.9360,4.8644,1.0000
4.6032,1.0252,1.0000
8.2607,7.4951,1.0000
10.6938,0.3171,1.0000
9.4885,8.6076,1.0000
9.1619,3.3230,1.0000
14.5943,5.1194,1.0000
8.9286,5.7830,1.0000
10.0384,4.0404,1.0000
12.7022,7.4948,1.0000
11.8802,4.7699,1.0000
12.5645,4.8889,1.0000
11.0434,7.3114,1.0000
11.8086,9.0020,1.0000
11.0091,1.2343,1.0000
7.4058,8.0189,1.0000
9.2592,5.8643,1.0000
8.0961,7.2380,1.0000
9.1395,8.2604,1.0000
8.8099,7.5002,1.0000
11.5080,3.3847,1.0000
12.4574,2.9839,1.0000
8.1609,6.6138,1.0000
8.6017,3.6721,1.0000
9.2310,2.7636,1.0000
12.3367,6.3607,1.0000
9.8450,4.7576,1.0000
11.0066,8.9474,1.0000
11.9475,3.8631,1.0000
11.7384,4.7344,1.0000
9.5550,9.1736,1.0000
9.0632,3.9285,1.0000
5.6350,1.8643,1.0000
11.0087,3.4461,1.0000
11.1525,2.5071,1.0000
8.2842,6.5084,1.0000
13.2667,6.3248,1.0000
12.6784,8.8116,1.0000
12.3257,2.9463,1.0000
9.7644,6.4092,1.0000
9.0724,6.0106,1.0000
6.4689,3.1471,1.0000
11.1826,-0.0023,1.0000
7.5231,4.9604,1.0000
6.1553,5.1277,1.0000
8.2122,4.3480,1.0000
9.4209,5.4233,1.0000
8.7393,5.2005,1.0000
8.6558,6.2434,1.0000
13.7875,5.4402,1.0000
10.3798,2.3972,1.0000
11.5504,3.3049,1.0000
8.1914,6.2465,1.0000
10.4048,7.4757,1.0000
13.2264,3.7932,1.0000
10.2871,8.9364,1.0000
12.1612,6.5944,1.0000
12.9208,3.6481,1.0000
11.4234,8.1512,1.0000
13.6245,3.1973,1.0000
9.4372,5.8558,1.0000
9.3538,4.1239,1.0000
11.5295,4.2098,1.0000
6.0021,5.8091,1.0000
9.0508,3.3642,1.0000
6.4989,7.2670,1.0000
5.0200,1.2002,1.0000
9.3832,7.7480,1.0000
12.9286,2.4174,1.0000
9.6028,1.6225,1.0000
12.2611,1.6983,1.0000
9.6798,7.3098,1.0000
9.5027,8.2874,1.0000
8.0546,5.8255,1.0000
11.9080,4.6876,1.0000
13.0999,6.2257,1.0000
6.3386,13.8517,1.0000
11.4504,5.2400,1.0000
6.8722,5.1828,1.0000
8.9715,6.4408,1.0000
10.8311,9.1435,1.0000
10.3181,6.1482,1.0000
10.8328,4.6680,1.0000
9.5899,7.4619,1.0000
11.7442,3.5925,1.0000
7.5103,4.8493,1.0000
12.5971,4.9384,1.0000
13.9051,3.2669,1.0000
10.3167,-0.6266,1.0000
8.6680,4.3088,1.0000
11.1425,8.8252,1.0000
10.0781,8.2511,1.0000
11.4796,7.2056,1.0000
8.9576,8.0969,1.0000
7.6008,6.1072,1.0000
7.8711,3.8414,1.0000
6.7322,3.8454,1.0000
10.7851,4.8462,1.0000
6.9863,8.2887,1.0000
10.7540,7.2541,1.0000
11.7558,3.5133,1.0000
5.6507,2.9530,1.0000
12.7395,2.6442,1.0000
11.8247,3.6306,1.0000
10.8790,0.9216,1.0000
12.6097,4.9113,1.0000
11.9808,5.4245,1.0000
11.7845,4.7721,1.0000
11.6622,1.6245,1.0000
7.5835,6.6222,1.0000
9.9124,4.4885,1.0000
9.5984,6.1219,1.0000
8.6732,6.1411,1.0000
7.9522,4.0894,1.0000
12.2024,7.3954,1.0000
7.5467,6.8752,1.0000
7.6763,6.6391,1.0000
5.7541,2.5021,1.0000
8.8619,4.6277,1.0000
13.1833,7.0214,1.0000
13.5229,7.6981,1.0000
9.3675,4.4045,1.0000
12.3903,5.0903,1.0000
9.6490,2.0144,1.0000
9.7619,-1.2409,1.0000
8.9801,2.8089,1.0000
11.5486,3.9297,1.0000
9.2642,8.0122,1.0000
7.6542,5.7081,1.0000
5.7621,5.2006,1.0000
10.9174,6.9227,1.0000
7.9905,5.7148,1.0000
10.7114,4.9570,1.0000
10.3354,6.0365,1.0000
0.1445,14.0196,1.0000
-3.1139,10.7751,1.0000
-0.2787,10.5429,1.0000
1.0623,12.0080,1.0000
0.6425,10.5496,1.0000
3.0731,11.9992,1.0000
2.5871,11.1220,1.0000
1.1801,10.6412,1.0000
-1.9018,10.5913,1.0000
-0.0917,11.5625,1.0000
3.0784,9.7026,1.0000
-2.1807,15.4004,1.0000
1.2176,8.2372,1.0000
0.9945,12.4747,1.0000
-4.2889,11.2609,1.0000
-0.0349,13.4628,1.0000
1.9090,12.1915,1.0000
2.0669,11.7075,1.0000
-1.7150,10.1316,1.0000
1.0853,8.0837,1.0000
1.3556,9.7869,1.0000
-0.7184,13.0108,1.0000
2.4359,8.1186,1.0000
-1.6124,12.0981,1.0000
-1.1922,13.7232,1.0000
-4.1728,12.7236,1.0000
0.8518,12.0982,1.0000
2.2045,9.5409,1.0000
2.2172,10.5942,1.0000
1.4511,11.3516,1.0000
